code,title,dimension_code,body
CM-EDU-VALUE-GAP,The Value Gap: What Your Business Is Worth vs What It Could Be,VAL,"Explains current EV vs target EV, how each resolved risk expands the multiple, and the cost of inaction: what the business loses in value per year of delay."
CM-EDU-EXIT-TIMELINE,Sequencing Your Exit: Why Timing Follows Readiness,GOL,"Explains the three-phase roadmap (0-6mo risk elimination, 6-18mo structural improvement, 18-36mo value optimization), DRS milestones (Diligence Ready at 70, Competitive Process Ready at 85), and why going to market early costs real dollars."
CM-EDU-OWNER-READINESS,"The Three Legs of the Stool: Business, Personal, Financial",GOL,"A durable exit rests on three kinds of readiness. Business readiness: the company runs and grows without the owner. Personal financial readiness: the after-tax proceeds actually fund the owner's life. Personal readiness: the owner knows what they are retiring to. The Exit Planning Institute finds most owners have not aligned all three, and that misalignment — not a low offer — is what most often derails or sours a deal. The engagement's job is to move all three legs forward together, not to chase price alone."
CM-EDU-WEALTH-GAP,The Value Gap: Your Number vs What the Business Supports,PFN,"The value gap is the distance between the after-tax proceeds the owner needs to fund the rest of their life and what the business would sell for today. Quantifying it early reframes the whole engagement: it sets the target enterprise value, the timeline, and the concrete cost of waiting a year. Coordinated with the owner's personal financial advisor, the gap turns a vague ambition into a plan with a number attached."
CM-EDU-DEAL-PROCESS,How a Sale Actually Runs,GOL,"A sale is a sequence, not a single event: preparation and a marketing package, going to market, indications of interest and letters of intent, exclusivity and due diligence, then close with escrow and a working-capital true-up. Pepperdine's research is a reminder that roughly three in ten sell-side engagements end without a transaction, most often over a valuation gap. Owners who understand the sequence keep their nerve through diligence and avoid the value erosion that comes from surprises."
CM-EDU-BUYER-TYPES,Who Buys Businesses Like Yours,GOL,"Buyers price differently. Strategic buyers pay for fit and synergy and may tolerate more owner transition risk. Financial buyers — private equity platforms and add-ons, search funds, and individual buyers — pay for durable, transferable cash flow; private equity usually wants the existing team to stay, while search funds and individual buyers typically step in to run the business themselves. The Market Pulse survey tracks how the financial-versus-strategic mix shifts by deal size. Knowing which buyer the business is built for shapes what to fix first and how to tell the story."
CM-EDU-DEAL-STRUCTURE,"Deal Structure: Earnouts, Escrow, and the True-Up",FIN,"Headline price is not proceeds. Structure decides how much the owner actually keeps and when. Escrow and holdbacks reserve part of the price against reps and warranties. Earnouts tie a slice of price to future performance and shift risk onto the seller. The working-capital true-up adjusts price at close against the agreed peg. Owners who understand these levers negotiate the parts that matter instead of fixating on the multiple alone."
CM-EDU-WORKING-CAPITAL,The Working-Capital Peg Explained,FIN,"Nearly every deal closes on a cash-free, debt-free basis with a normal level of working capital delivered at close. The buyer proposes that peg; deliver less and the price is reduced dollar-for-dollar at the true-up. Owners who have never measured their own net working capital meet the peg for the first time in diligence and negotiate from the buyer's number. Owning the trailing-average net working capital and its seasonality turns the peg into a data conversation and protects value that otherwise leaks at the finish line."
CM-EDU-QOE,Quality of Earnings: The Buyer's Financial X-Ray,FIN,"Above roughly one to two million dollars of EBITDA, buyers commission an independent Quality of Earnings review that normalizes EBITDA, tests revenue recognition, examines working capital, and challenges every addback. Findings discovered after the letter of intent become leverage to retrade the price — and unsupported addbacks are a common trigger. Running a sell-side QoE first, on the buyer's playbook, converts surprises into a prepared, defensible position and shortens diligence."
CM-EDU-RETENTION,Why Retention Drives Value,REV,"A buyer pays for the revenue trajectory embedded in the existing customer base, not just this year's sales. A base that holds or expands on its own is worth more than one that must be re-won every year. Instrumenting retention by cohort, launching expansion motions in the installed base, and fixing the top churn drivers all compound value — because they raise the revenue a buyer can count on without new selling. This is a cross-industry driver, not a software-only one."
CM-EDU-DURABILITY,Making Recurring Revenue Bankable,REV,"Recurring revenue only earns its premium if a buyer can rely on it. What makes it bankable: written contracts with real term remaining, renewal and auto-renew provisions, assignability and change-of-control terms that survive a sale, and a track record of renewals. Informal but sticky relationships still count — but converting the most important ones to written agreements, and showing renewal history for the rest, is what turns durable-looking revenue into durable-priced revenue."
CM-EDU-GROWTH,Growth Buyers Will Pay For,GRW,"Buyers pay for growth they can count on, not growth that depends on the owner's personal effort. That means a measured pipeline with coverage against a target, conversion tracked by stage, repeatable delivery, and a clear, defensible reason customers choose you. Growth evidenced this way lifts the multiple; growth asserted without a pipeline reads as hope. The work is to turn the growth story into data a buyer can underwrite."
CM-EDU-POSITIONING,Positioning and the Multiple,GRW,"An undifferentiated business is valued as a commodity and pressured on margin; a business with a specific, defensible reason customers choose it holds price and defends its multiple. Positioning is not a slogan — it is the evidence: win rates against named alternatives, retention, references, and pricing power. Sharpening and proving the differentiation is one of the quieter levers on enterprise value."
CM-EDU-MGMT-DEPTH,Management Depth as a Value Driver,MGT,"A buyer is buying the team as much as the business. When every core function reports through a named, capable manager rather than to the owner, transition risk drops and the multiple rises. Building the layer means defining the functional roles a buyer expects, filling or promoting into them, and genuinely shifting decision authority — documented, not nominal. Depth is what lets the business survive both the owner's exit and any single leader's departure."
CM-EDU-KEY-PERSON,Keeping the People a Buyer Is Buying,MGT,"When value concentrates in a few key people, the buyer needs confidence they will stay through and beyond the transition. Retention agreements, compensation aligned to market, and — where enforceable — non-competes are the tools. Non-compete enforceability varies by state and has been the subject of federal regulatory action, so confirm current law with counsel rather than relying on a template. Securing key people ahead of a process removes one of the buyer's favorite reasons to discount or restructure."
CM-BUYERQ-GROWTH,Buyer Question Prep: Growth Durability,GRW,"BUYER QUESTION: Where does the next phase of growth come from, and how repeatable is it?

RESPONSE FRAMEWORK: Show the named-account pipeline, conversion by stage with historical win rate, and the share of revenue that repeats without being re-won. Tie growth to capacity already in place rather than to the owner's personal selling.

DOCUMENTATION NEEDED: Pipeline by stage with conversion history. Revenue split of new versus repeat. Capacity plan."
CM-BUYERQ-WORKCAP,Buyer Question Prep: Working Capital,FIN,"BUYER QUESTION: What is the normal level of working capital the business needs to operate?

RESPONSE FRAMEWORK: Present the trailing-twelve-month average net working capital and the seasonal swing, so the peg conversation starts from your evidence rather than the buyer's read of the balance sheet.

DOCUMENTATION NEEDED: Monthly net working capital for 24 months. Seasonality notes. AR and AP aging."
