code,item_type,title,body,response_framework,data_needed,dimension_code,sub_score_code,severity,buyer_type,score_trigger,sort_order
AL-INIT-OWNER-EXTRACT,initiative,Reduce Owner Dependence,Systematically transfer the owner's operating responsibilities to the team so the business runs without daily owner involvement.,"Inventory owner-held responsibilities, delegate in waves to named owners, and document each handoff. Target a measured reduction in owner working hours.","Owner responsibility inventory. Delegation schedule. Weekly owner-hours log.",OPS,OPS-HOURS,critical,,50,10
AL-INIT-DIVERSIFY,initiative,Diversify the Customer Base,Reduce single-customer dependence by growing revenue from new and smaller accounts.,"Set a concentration target, build a named-account pipeline, and protect the anchor client with a longer-term contract while diversifying around it.","Customer revenue distribution. Named-account pipeline. Anchor-client contract status.",CUS,CUS-TOP1,high,,70,20
AL-INIT-ADDBACK-DOC,initiative,Build a Defensible Addback Schedule,Document every EBITDA add-back with source evidence so the recast survives quality-of-earnings review.,"Itemize each add-back, attach the supporting document, rate its challenge likelihood, and drop or substantiate anything not defensible.","Itemized add-back schedule. Source documents per line. Third-party comp benchmark.",FIN,FIN-ADDBACK,high,,70,30
AL-INIT-RECURRING,initiative,Convert Revenue to Recurring,"Move project or transactional revenue toward contracted, recurring relationships that a buyer will pay a higher multiple for.","Identify repeatable engagements, package them as retainers or subscriptions, and convert the highest-tenure clients first.","Revenue by type. Candidate accounts for conversion. Draft recurring agreement.",REV,REV-RECUR,high,,70,40
AL-INIT-SOP,initiative,Document Core Processes,"Turn tribal knowledge into written, transferable standard operating procedures.","Prioritize the processes most tied to the owner, document them, and prove transfer by having a team member run each from the SOP.","Process inventory. SOP drafts. Evidence of team execution from the SOP.",OPS,OPS-SOP,high,,70,50
AL-INIT-MGMT-DEPTH,initiative,Build a Management Layer,Establish a functional management team that owns decisions below the owner.,"Define the functional roles a buyer expects, fill or promote into them, and shift decision authority with documented responsibilities.","Target org design. Role descriptions with authority. Hiring or promotion plan.",OPS,OPS-DEPTH,high,,70,60
AL-INIT-NONCOMPETE,initiative,Execute Key-Person Non-Competes,Secure the people a buyer is buying with enforceable retention and non-compete terms.,"Identify key personnel, benchmark their compensation, and put non-compete and retention agreements in place ahead of a process.","Key-person list. Comp benchmarks. Executed non-compete and retention agreements.",MGT,MGT-NC,high,,70,70
AL-INIT-CLEANBOOKS,initiative,Move Toward GAAP-Proximate Books,"Tighten the financials toward accrual, GAAP-proximate reporting so diligence starts from a credible base.","Close the largest cash-vs-accrual gaps, formalize monthly reconciliation, and produce a complete statement set.","Current basis of accounting. Reconciliation cadence. Complete financial statements.",FIN,FIN-GAAP,med,,70,80
AL-INIT-PIPELINE,initiative,Install Pipeline Discipline,"Create a measured, forward-looking pipeline so growth is evidenced rather than asserted.","Stand up a simple CRM discipline, track conversion by stage, and report forward pipeline against a target.","Pipeline by stage. Historical conversion rates. Forward pipeline coverage.",GRW,GRW-PIPE,med,,70,90
AL-INIT-RETENTION,initiative,Lift Net Revenue Retention,Improve expansion and reduce churn so the installed base compounds.,"Instrument retention by cohort, launch expansion motions in the base, and address the top churn drivers.","Cohort retention data. Expansion initiatives. Churn root-cause analysis.",REV,REV-NRR,med,,70,100
AL-RISK-CONC,risk_flag,Single-Customer Concentration,A buyer's diligence will flag that a large share of revenue depends on one customer.,"Pre-empt it: show the contract term, the relationship depth, and the diversification underway before the buyer raises it.","Revenue concentration table. Anchor contract. Diversification progress.",CUS,CUS-TOP1,critical,,70,10
AL-RISK-OWNER,risk_flag,Owner Is the Business,"Diligence will surface that the business depends on the owner for operations, relationships, or decisions.","Get ahead of it with an org chart, delegated authority, and a documented transition plan that shows the business survives the owner.","Org chart. Delegation evidence. Transition plan.",OPS,OPS-HOURS,critical,,50,20
AL-RISK-ADDBACK,risk_flag,Unsupported Add-Backs,Quality-of-earnings review will challenge any EBITDA add-back that lacks source documentation.,"Substantiate or remove each add-back before the process so the recast holds under scrutiny.","Add-back schedule with source documents. Challenge-likelihood ratings.",FIN,FIN-ADDBACK,critical,,70,30
AL-RISK-RECON,risk_flag,Reconciliation Discipline Gap,Diligence will distrust financials that are not reconciled on a regular cadence.,"Formalize monthly reconciliation and be ready to show a clean, repeatable close.","Reconciliation cadence and evidence. Month-end close checklist.",FIN,FIN-RECON,high,,70,40
AL-RISK-INFORMAL-REV,risk_flag,Undocumented Recurring Revenue,Recurring revenue with no contracts behind it reads as fragile in diligence.,"Convert the most important relationships to written agreements and show historical stickiness for the rest.","Contract status by account. Historical renewal evidence.",REV,REV-DURABILITY,high,,70,50
AL-RISK-SOP,risk_flag,Tribal Knowledge,Undocumented core processes signal transition risk to a buyer.,"Document the owner-critical processes and prove a team member can run them from the SOP.","SOP coverage of core processes. Evidence of transfer.",OPS,OPS-SOP,high,,70,60
AL-RISK-NONCOMPETE,risk_flag,Key Staff Can Walk,"Without non-competes, a buyer sees the risk that key people leave with the value.","Put retention and non-compete agreements in place ahead of the process.","Executed non-compete and retention agreements for key personnel.",MGT,MGT-NC,high,,70,70
AL-RISK-VOLATILE,risk_flag,Inconsistent Revenue,Choppy or declining revenue invites a discount unless the story is controlled.,"Prepare the year-over-year narrative with root cause and recovery evidence before it is asked.","Revenue trend by period and customer. Corrective-action evidence.",REV,REV-GROWTH,med,,50,80
AL-EDU-DRS101,education,Understanding Your Readiness Score,"Your Diligence Readiness Score rates six areas buyers scrutinize — revenue quality, financial integrity, operations, customer risk, management, and growth. Institutional Grade (85+) and Sale Ready (70-84) signal a business a buyer can underwrite; below that, specific gaps need work first. The score maps directly to how buyers behave and what they'll pay.",,,,,,,,10
AL-EDU-OWNER,education,Building a Business That Runs Without You,"The single biggest value driver buyers look for is a business that operates without the owner. If the business depends on you for relationships, decisions, or daily operations, a buyer sees risk — and discounts for it. The fix is deliberate: inventory what only you do, delegate it in waves to named people, and document each handoff until the business runs on its own.",,,OPS,OPS-HOURS,,,50,20
AL-EDU-CONC,education,Why Customer Concentration Worries Buyers,"When one customer is a large share of revenue, a buyer asks what happens if that customer leaves after the sale. Concentration caps your multiple until you address it — through longer contracts with the anchor client and a deliberate push to grow smaller accounts around it.",,,CUS,CUS-TOP1,,,70,30
AL-EDU-RECAST,education,EBITDA Recast: The Number Buyers Actually Pay For,"Buyers don't pay on reported profit — they pay on defensible, normalized EBITDA. That means adding back owner-specific and one-time costs, but only the ones you can document. An add-back with an invoice behind it is bankable; one without is a diligence surprise that erodes trust. Build the schedule early, with support for every line.",,,FIN,FIN-ADDBACK,,,70,40
AL-EDU-RECURRING,education,Turning Project Revenue Into Recurring Revenue,"Recurring, contracted revenue is worth more than the same dollars earned project by project, because a buyer can count on it. Even partial progress — converting your highest-tenure clients to retainers or subscriptions — lifts both the score and the multiple. Start with the relationships most likely to say yes.",,,REV,REV-RECUR,,,70,50
AL-EDU-SOP,education,From Tribal Knowledge to Documented Processes,"If your core processes live only in people's heads, a buyer sees transition risk. Documented, transferable procedures prove the business survives a change of ownership. You don't need everything at once — start with the processes most tied to you, and prove a team member can run each one from the written steps.",,,OPS,OPS-SOP,,,70,60
AL-EDU-TIMELINE,education,Sequencing Your Exit: Why Timing Follows Readiness,"The best exits follow readiness, not the calendar. A rough sequence: eliminate the critical risks first, then make structural improvements, then optimize for value. Going to market before you're ready costs real dollars — buyers price in every unresolved gap. The roadmap orders the work so timing takes care of itself.",,,,,,,,70
AL-BQ-GROWTH,buyer_question,Growth Durability,Where does the next phase of growth come from and how repeatable is it?,"Show the named-account pipeline, the conversion rate by stage, and the share of revenue that repeats without re-winning it. Tie the growth story to capacity you already have, not to the owner's personal effort.","Pipeline by stage with conversion history. Revenue split of new versus repeat. Capacity plan.",GRW,GRW-PIPE,high,all,70,110
AL-BQ-POSITION,buyer_question,Competitive Differentiation,"Why do customers choose you over the alternative, and is that durable?","State the specific, defensible reason customers pick you rather than price, the proof it holds (win rates, retention, references), and why a new entrant cannot copy it quickly.","Win/loss notes. Positioning statement. Customer references.",GRW,GRW-POS,med,all,45,120
AL-BQ-NRR,buyer_question,Net Revenue Retention,Does the existing customer base grow or shrink year over year before new sales?,"Present net revenue retention with its definition and a three-year trend, separating churn from expansion, and name the initiatives moving each.","Cohort revenue by year. Definition of the retention measure. Expansion and churn drivers.",REV,REV-NRR,med,all,70,130
AL-BQ-WORKCAP,buyer_question,Working Capital,What is the normal level of working capital the business needs to run?,"Show the trailing-twelve-month average net working capital and the seasonal swing, so the peg conversation at close starts from your data, not the buyer's.","Monthly net working capital for 24 months. Seasonality notes. AR and AP aging.",FIN,,high,all,,140
AL-RISK-PIPELINE,risk_flag,No Forward Pipeline,"Growth asserted without a measured pipeline reads as hope, not a plan.","Stand up simple pipeline discipline and show forward coverage against a target before a buyer asks how growth is evidenced.","Pipeline by stage. Coverage ratio versus next-year target.",GRW,GRW-PIPE,med,,70,110
AL-RISK-UNDIFF,risk_flag,Undifferentiated Position,A me-too position invites margin pressure and caps the multiple.,"Sharpen and evidence the differentiation, or the business is valued as a commodity.","Positioning statement. Win-rate and pricing evidence.",GRW,GRW-POS,med,,45,120
AL-RISK-CUSTOM,risk_flag,Low Repeatability,"Heavy custom work makes revenue hard to forecast and scale, which buyers discount.","Productize the repeatable core and show what share of delivery is now standard.","Revenue by standard versus custom. Delivery process documentation.",GRW,GRW-REPEAT,med,,65,130
AL-RISK-WORKCAP,risk_flag,Undefined Working-Capital Peg,"Without your own working-capital baseline, the buyer sets the peg and can claw back value at close.","Establish the trailing-average net working capital and seasonal range before the LOI so the peg is negotiated from your evidence.","24-month net-working-capital schedule. Seasonality analysis.",FIN,,high,,,140
AL-INIT-POSITION,initiative,Sharpen Market Positioning,Define and evidence why customers choose you so growth compounds and the position defends the multiple.,"Write the differentiation, prove it with win-rate and retention data, and align sales and marketing to it.","Positioning statement. Win/loss data. Messaging assets.",GRW,GRW-POS,med,,45,110
AL-INIT-WORKCAP,initiative,Establish the Working-Capital Baseline,Build the net-working-capital evidence base that governs the peg negotiated at close.,"Assemble 24 months of net working capital, quantify seasonality, and set the target the business actually needs to operate.","Monthly balance-sheet data. AR and AP aging. Seasonality model.",FIN,,high,,,120
AL-INIT-QOE-PREP,initiative,Prepare for Quality of Earnings,Get ahead of the buyer's quality-of-earnings review by running a sell-side review of the numbers first.,"Reconcile the financials, substantiate every addback, and fix findings while they are cheap to fix — before diligence surfaces them.","Reconciled statements. Addback schedule with evidence. Revenue-recognition notes.",FIN,FIN-ADDBACK,high,,70,130
AL-EDU-GROWTH,education,Growth as a Value Driver,"Buyers pay for growth they can count on, not growth that depends on the owner's hustle. A measured pipeline, repeatable delivery, and a clear reason customers choose you turn a growth story into a higher multiple. The goal is evidence: coverage against a target, conversion by stage, and revenue that repeats.",,,GRW,GRW-PIPE,,,70,130
AL-EDU-WORKCAP,education,The Working-Capital Peg,"Most owners meet the working-capital peg the hard way, at close, when the buyer sets a target and claws back the difference. The fix is to own the number first: know your trailing-average net working capital and its seasonal swing, so the peg is negotiated from your data. It is one of the most common places value quietly leaks out of a deal.",,,FIN,,,,,140
AL-EDU-QOE,education,What a Quality-of-Earnings Review Tests,"Above roughly one to two million dollars of EBITDA, buyers commission a quality-of-earnings review — an independent look that normalizes EBITDA, tests revenue, and challenges every addback. Unsupported addbacks are the most common reason price drops between the letter of intent and close. Running your own review first turns surprises into a prepared position.",,,FIN,FIN-ADDBACK,,,70,150
AL-EDU-OWNERREADY,education,The Three Legs of the Stool,"A good exit balances three kinds of readiness: the business (can it run and grow without you), your personal finances (does the sale fund your life), and you (what you will do next). Research from the Exit Planning Institute finds most owners have not aligned these — and misalignment is what makes deals fall through or leaves sellers with regret. Readiness on all three is the real goal, not just a high offer.",,,GOL,,,,,160
AL-EDU-WEALTHGAP,education,Your Number vs What the Business Supports,"The value gap is the distance between the after-tax proceeds you need and what the business would fetch today. Naming it early turns the whole engagement into a plan: it sets the target value, the timeline, and the cost of waiting. Owners who quantify the gap make sharper decisions than those chasing a vague big number.",,,PFN,,,,,170
AL-EDU-DEALPROCESS,education,How a Sale Actually Runs,"A sale is a process, not an event: preparation, going to market, letters of intent, exclusivity and diligence, then closing with escrow and a working-capital true-up. Owners who understand the sequence hold their nerve through diligence and avoid the value erosion that comes from surprises. Knowing what is normal is half the battle.",,,GOL,,,,,180
AL-EDU-BUYERTYPES,education,Who Buys Businesses Like Yours,"Buyers are not interchangeable. Strategic buyers pay for fit and synergy; financial buyers such as private equity, search funds, and individuals pay for durable cash flow and a management team that stays. Knowing which buyer you are built for shapes what you fix first and how you tell the story.",,,GOL,,,,,190
AL-EDU-KEYPERSON,education,Keeping the People a Buyer Is Buying,"When value lives in a few key people, a buyer needs to know they will stay. Retention agreements, market-aligned pay, and where enforceable non-competes de-risk that. Enforceability varies by state and has been the subject of federal action, so confirm current law with counsel rather than assuming a template holds.",,,MGT,MGT-NC,,,70,200
